"Year","CUMSUM_GDD_DAY_1","CUMSUM_GDD_DAY_2","CUMSUM_GDD_DAY_3","CUMSUM_GDD_DAY_4","CUMSUM_GDD_DAY_5","CUMSUM_GDD_DAY_6","CUMSUM_GDD_DAY_7","CUMSUM_GDD_DAY_8","CUMSUM_GDD_DAY_9","CUMSUM_GDD_DAY_10","CUMSUM_GDD_DAY_11","CUMSUM_GDD_DAY_12","CUMSUM_GDD_DAY_13","CUMSUM_GDD_DAY_14","CUMSUM_GDD_DAY_15","CUMSUM_GDD_DAY_16","CUMSUM_GDD_DAY_17","CUMSUM_GDD_DAY_18","CUMSUM_GDD_DAY_19","CUMSUM_GDD_DAY_20","CUMSUM_GDD_DAY_21","CUMSUM_GDD_DAY_22","CUMSUM_GDD_DAY_23","CUMSUM_GDD_DAY_24","CUMSUM_GDD_DAY_25","CUMSUM_GDD_DAY_26","CUMSUM_GDD_DAY_27","CUMSUM_GDD_DAY_28","CUMSUM_GDD_DAY_29","CUMSUM_GDD_DAY_30","CUMSUM_GDD_DAY_31","CUMSUM_GDD_DAY_32","CUMSUM_GDD_DAY_33","CUMSUM_GDD_DAY_34","CUMSUM_GDD_DAY_35","CUMSUM_GDD_DAY_36","CUMSUM_GDD_DAY_37","CUMSUM_GDD_DAY_38","CUMSUM_GDD_DAY_39","CUMSUM_GDD_DAY_40","CUMSUM_GDD_DAY_41","CUMSUM_GDD_DAY_42","CUMSUM_GDD_DAY_43","CUMSUM_GDD_DAY_44","CUMSUM_GDD_DAY_45","CUMSUM_GDD_DAY_46","CUMSUM_GDD_DAY_47","CUMSUM_GDD_DAY_48","CUMSUM_GDD_DAY_49","CUMSUM_GDD_DAY_50","CUMSUM_GDD_DAY_51","CUMSUM_GDD_DAY_52","CUMSUM_GDD_DAY_53","CUMSUM_GDD_DAY_54","CUMSUM_GDD_DAY_55","CUMSUM_GDD_DAY_56","CUMSUM_GDD_DAY_57","CUMSUM_GDD_DAY_58","CUMSUM_GDD_DAY_59","CUMSUM_GDD_DAY_60","CUMSUM_GDD_DAY_61","CUMSUM_GDD_DAY_62","CUMSUM_GDD_DAY_63","CUMSUM_GDD_DAY_64","CUMSUM_GDD_DAY_65","CUMSUM_GDD_DAY_66","CUMSUM_GDD_DAY_67","CUMSUM_GDD_DAY_68","CUMSUM_GDD_DAY_69","CUMSUM_GDD_DAY_70","CUMSUM_GDD_DAY_71","CUMSUM_GDD_DAY_72","CUMSUM_GDD_DAY_73","CUMSUM_GDD_DAY_74","CUMSUM_GDD_DAY_75","CUMSUM_GDD_DAY_76","CUMSUM_GDD_DAY_77","CUMSUM_GDD_DAY_78","CUMSUM_GDD_DAY_79","CUMSUM_GDD_DAY_80","CUMSUM_GDD_DAY_81","CUMSUM_GDD_DAY_82","CUMSUM_GDD_DAY_83","CUMSUM_GDD_DAY_84","CUMSUM_GDD_DAY_85","CUMSUM_GDD_DAY_86","CUMSUM_GDD_DAY_87","CUMSUM_GDD_DAY_88","CUMSUM_GDD_DAY_89","CUMSUM_GDD_DAY_90","CUMSUM_GDD_DAY_91","CUMSUM_GDD_DAY_92","CUMSUM_GDD_DAY_93","CUMSUM_GDD_DAY_94","CUMSUM_GDD_DAY_95","CUMSUM_GDD_DAY_96","CUMSUM_GDD_DAY_97","CUMSUM_GDD_DAY_98","CUMSUM_GDD_DAY_99","CUMSUM_GDD_DAY_100","CUMSUM_GDD_DAY_101","CUMSUM_GDD_DAY_102","CUMSUM_GDD_DAY_103","CUMSUM_GDD_DAY_104","CUMSUM_GDD_DAY_105","CUMSUM_GDD_DAY_106","CUMSUM_GDD_DAY_107","CUMSUM_GDD_DAY_108","CUMSUM_GDD_DAY_109","CUMSUM_GDD_DAY_110","CUMSUM_GDD_DAY_111","CUMSUM_GDD_DAY_112","CUMSUM_GDD_DAY_113","CUMSUM_GDD_DAY_114","CUMSUM_GDD_DAY_115","CUMSUM_GDD_DAY_116","CUMSUM_GDD_DAY_117","CUMSUM_GDD_DAY_118","CUMSUM_GDD_DAY_119","CUMSUM_GDD_DAY_120","CUMSUM_GDD_DAY_121","CUMSUM_GDD_DAY_122","CUMSUM_GDD_DAY_123","CUMSUM_GDD_DAY_124","CUMSUM_GDD_DAY_125","CUMSUM_GDD_DAY_126","CUMSUM_GDD_DAY_127","CUMSUM_GDD_DAY_128","CUMSUM_GDD_DAY_129","CUMSUM_GDD_DAY_130","CUMSUM_GDD_DAY_131","CUMSUM_GDD_DAY_132","CUMSUM_GDD_DAY_133","CUMSUM_GDD_DAY_134","CUMSUM_GDD_DAY_135","CUMSUM_GDD_DAY_136","last_year_bloom_doy","avg_last_5","sd_last_5","avg_last_10","sd_last_10","bloom_doy","alt","speciesjamasakura","speciesyedoensis","cultivarNoneGiven","cultivarSomeiyoshino","locationkyoto","locationliestal","locationnyc","locationvancouver"
1968,0,0,0,0,0,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,6.6,8.4,8.4,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.85,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,11.95,11.95,11.95,12.65,12.65,12.65,14.2,18.65,21.2,21.55,21.55,21.55,21.55,24,25.75,29.3,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,34.05,34.05,34.05,34.05,34.05,36.05,36.45,37.35,41.15,43.65,46.5,50.25,51.1,55.6,64.3,73.75,81.8,88.55,97.9,108.9,119.35,128.45,135.6,142.1,145,147,151.25,151.95,154.9,154.9,155.4,157.1,158.75,158.75,158.75,163.5,170.35,179.95,191.7,204.3,218.1,232.95,249.3,265.75,280.15,289.25,293.65,301,309.65,319.95,326.9,333.15,341.25,349.75,360.45,374.3,385.6,392.85,397.05,401.4,410.2,421.2,429.9,435.65,441.65,449.6,458.85,94,103,7.81024967590665,101,11.8790197874703,103,350,0,0,1,0,0,1,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.9,3.1,4.05,4.05,4.05,4.05,4.25,5.55,6.5,6.55,6.55,8.95,12.5,13.5,15.95,18.7,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,21.85,23.3,24.6,26.7,26.7,26.7,28.15,28.15,28.15,28.85,28.85,28.85,28.85,28.85,28.85,28.85,28.85,32,35.15,39.2,45.9,51.1,56.5,64.15,70.8,76.15,82.6,84.6,88.15,89.25,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,94.45,99,100.1,100.6,102.75,105.7,111.55,119.5,127.9,136.5,146,154.8,160.95,162.75,163.35,165.3,170.6,171.9,171.9,171.9,171.9,176.75,182,184.95,190.75,202.35,216.4,224.9,232.1,238.25,242.8,252.3,264.55,275.75,282.9,292.8,301.2,308.45,315.3,322.75,331.8,344.6,360.15,378.5,396.95,412.65,422.7,103,100.8,4.96990945591567,99.8,10.8709602969461,113,350,0,0,1,0,0,1,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.75,3.6,4.9,6.45,6.45,6.55,6.55,6.55,6.55,6.55,11.65,14.95,15.9,16.2,16.2,17.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,22.65,24.15,28.05,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,31.15,31.15,31.15,31.15,31.55,34.2,34.2,35.65,41.2,45.05,50.55,57.75,60.95,64.9,64.9,64.9,64.9,69.05,74.05,75.5,75.5,75.5,75.5,75.5,75.5,76.9,76.9,77.55,78.2,79.05,80.35,85.8,87.2,91.05,99.45,112.8,125.95,135.4,139.4,143.65,153.15,164.35,173.95,183.45,188.8,192.45,196.15,197.45,197.85,201.6,203.85,210.05,218.85,228,239.15,250.9,259.5,268.25,276.3,283.35,290.4,299.05,310.45,321.7,331,113,102,7.10633520177595,101.9,11.2195266289527,114,350,0,0,1,0,0,1,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,2.85,6.8,8.5,13.85,16.65,18.85,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,19.45,20.65,22.4,23,23,23,24.05,24.05,24.05,24.05,24.8,24.8,24.8,24.8,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,29.1,32.4,33.8,36.1,38.65,42.15,46.35,49.1,52.2,53.8,53.8,53.95,58.4,59.6,60.3,60.75,61.1,64.65,67.75,72.1,76.25,81.9,88.8,97.1,105,112.6,122.85,131.9,140.7,147,154.05,161,169.55,179.15,190.2,197.95,203.7,212.5,224.8,236.05,251.2,266.6,271.3,275.65,283,287.15,291.15,295.85,301.4,305.7,309.1,313.4,319.95,327.9,339.3,351.85,366.8,382.75,397.7,410.55,424.4,439.8,453.55,466.2,480.8,114,104.4,8.90505474435727,103.9,11.4353253852554,107,350,0,0,1,0,0,1,0,0
1972,0,0,0,0,0,0,0,0,0.9,0.9,4.3,6,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,7.8,8,9.1,12.95,15.9,16.6,16.8,18.35,19.6,20.2,20.35,20.35,21.7,21.7,22.4,22.4,22.4,25.15,26,26,28.3,28.3,28.3,28.85,28.85,28.85,30.5,32.4,33.8,34.95,34.95,36.55,37.55,40.85,42.95,44.2,44.2,44.2,46.35,50.65,54.9,60.5,66.4,74.8,83.1,91.1,97.65,104.65,111.4,116.2,121.85,128.65,132.2,134.5,138.25,142.05,146.2,150.5,159.8,169.25,179.55,186.8,192.65,203.4,209.65,215.85,222.5,226.6,230.45,235.3,241.5,244.8,246.95,247.9,250.05,252.75,254.9,257.85,263.7,267.95,272.9,273.65,275,276.75,278.55,282.95,294.25,305.75,315.7,325.95,333.6,341.55,351.1,362.3,373.6,382.9,390.9,396.95,401.55,408.35,411.95,414.65,107,106.2,8.16700679563817,106.7,7.36432843736164,97,350,0,0,1,0,0,1,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.75,2.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,6.7,9.5,11.55,11.55,11.55,12.35,12.35,12.35,12.35,12.35,12.35,12.35,12.35,12.35,12.35,12.65,13.05,14.75,19.2,25.45,32.55,37.95,42.35,48.75,54.6,57.8,60.65,63,67.7,73.65,74.35,74.35,77,83.15,87.9,88.7,88.7,88.7,88.7,88.7,88.85,88.85,90,93.5,96.15,100.15,101.5,101.5,102.2,104.9,110.35,115.9,119.4,124.55,132.55,140.8,149.3,160.4,175.75,187.8,200.7,215.4,230.95,239,246.55,252.15,258.25,266.1,273.65,279.55,287.6,298.9,309.55,317.75,97,106.8,7.08519583356734,104.9,7.30981075906438,119,350,0,0,1,0,0,1,0,0
1974,0,0,0,0,0,1.15,2.05,4.35,5.75,6,10.15,13.3,13.3,16.15,21.6,30.85,32.05,33.6,36.75,38.2,39.35,39.35,42.15,42.15,42.15,42.15,43.5,43.5,43.95,43.95,43.95,47.65,51,51,51.7,54.1,56.4,56.4,56.8,60.65,67.85,73.3,78.5,80.85,82.4,82.4,85.95,86.35,86.35,86.35,86.35,86.35,86.35,86.35,86.35,86.35,86.35,86.35,86.35,86.35,86.45,86.45,86.45,86.45,86.45,86.45,86.45,86.75,89.55,93.55,97.2,101.45,105.3,106.2,108.8,116,128.15,131.7,140,149.05,157.65,166.15,173.55,179.85,185.25,193.2,201.7,210.6,217.2,225.3,232.7,241.05,250.8,259.15,265.4,272.3,279.2,286.7,294.35,303.25,312.8,322.85,332.05,337.75,340.6,343.45,343.75,344.7,346.8,350.15,354.3,358.55,363,366.1,368.05,370.95,372.65,378.7,385,388.9,393.75,398.95,403.75,410.05,415.3,419.15,421.5,424.3,432.15,440,446.85,455.85,467.9,478.2,486.25,496.15,119,110,8.42614977317636,105.4,8.12677331075775,92,350,0,0,1,0,0,1,0,0
1975,0,0,0,0,0,0,0.55,3.1,3.1,3.1,3.1,3.1,4.25,4.25,4.5,4.75,9.8,13.6,14.75,17.15,17.75,18,19.8,23.95,28.4,30.5,30.75,34.15,36.4,41.2,44.8,44.9,44.9,46,46,46,46,46.1,46.1,46.1,46.1,46.75,50.15,53.2,54.2,54.2,54.2,54.2,55.8,56.2,56.2,56.2,56.2,56.25,56.25,56.25,56.25,56.6,59.4,61.75,67.2,73.25,78.05,82.5,85.25,89.25,95.65,98.1,99.6,100.4,102.6,104.75,106.8,109.25,110.2,110.2,110.2,110.2,110.2,110.2,110.4,110.4,110.4,110.4,112.15,114.4,114.4,114.4,114.4,114.4,114.4,114.4,116.1,116.1,117.65,117.65,117.8,120.4,120.4,120.4,120.4,123.25,129.6,138.45,147.6,153.15,159.6,170.45,182.5,190.4,199.05,207.95,218.05,227.85,236.3,241.6,249.2,258.95,270.6,277.45,284.15,292.15,297.8,299.9,304.45,310.6,321.5,329.65,338.5,347.55,355.8,364.7,372.1,380.6,391.75,404.7,92,105.8,11.3004424692133,103.9,9.12201244852862,108,350,0,0,1,0,0,1,0,0
1976,0,2.7,5.75,5.75,5.75,8,11.05,11.05,11.05,11.05,14.55,18.2,20.95,21.85,23.2,23.2,23.35,23.35,23.35,23.65,24.9,27.4,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,29.55,31,32.2,32.2,32.45,32.45,32.45,32.45,32.45,33.4,34.4,36.4,36.85,37.55,39.6,41.4,45.4,49.85,53,57.65,62.9,68.7,69.9,71.05,71.05,71.05,71.05,71.05,71.05,71.05,71.05,71.05,71.05,72.95,75.1,77.2,80,84.65,86.7,91.45,91.45,91.45,91.45,92.85,92.85,93.35,98.9,104.85,108.95,116,121.75,129.55,139.55,150.05,160.55,168.45,178.55,187.6,191.85,193.45,193.8,195.5,198.55,201.2,205.65,210.55,217.65,225.5,233.5,243.5,253.2,263.15,272.6,278.3,278.3,278.3,278.3,278.8,285.2,286.9,288,290.3,294.65,301.55,308.6,318.4,329.7,342.7,357.3,373.8,388.7,402.15,412.95,423.45,430.95,438.75,447.8,108,104.6,10.5023806824929,104.5,9.18029290261361,102,350,0,0,1,0,0,1,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,6.6,9.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,13.6,20.05,24.25,30.9,37.1,40.25,45,49.75,51.4,53.75,53.75,55.25,55.25,56.55,61.2,67.8,75.25,79.7,82.4,87.45,93.2,97.05,99,99,99,99,99.75,107.1,117.05,124.6,129.3,135.95,144.05,154.5,162.95,169.45,173.75,177.85,183.25,188.25,197.75,205.55,210.55,214.35,218,221.95,227.85,236.1,243.2,250.85,259.25,266,266.65,266.65,266.65,266.65,269.5,274.05,280.15,282.5,285.5,288.75,290.85,290.85,290.85,290.85,290.85,291.05,293.6,295.95,297.1,299.45,305.1,310.4,312,316.35,320.3,331.3,343.25,348.95,354.7,366.3,374,383.1,386.3,389.4,393,401.85,410.55,421.15,426.05,431.4,436.3,438.5,443.95,448.3,458.05,468.85,476.55,484.2,492.1,499.9,102,103.6,10.4546640309481,104.9,8.94986033410578,80,350,0,0,1,0,0,1,0,0
1978,0.2,0.2,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4,6.25,8.25,14.05,16.9,20.8,25.85,29.15,33.75,39.75,41.55,42.35,42.65,42.65,43.55,49.25,52.85,58.5,63.85,67.35,69.85,73.05,75.65,75.65,75.65,75.65,79.65,79.65,80.25,82.85,83,84.8,85.75,88,97.7,106.65,114.05,119.25,125,130.85,136,141.5,145.3,147.9,149.7,152.4,156.85,161.95,162,162,163.2,165.9,167.65,167.65,167.85,170.15,174.85,180.2,186.55,191.35,198.45,205.45,213.9,222.75,228.35,236.05,245.15,254.75,260.75,266.25,273.9,285.35,297.7,305.9,311.15,316.1,321.4,329.35,333.1,336.45,341.7,347.45,353.3,361.25,80,100.2,14.9398795175865,103.5,11.5590272562665,108,350,0,0,1,0,0,1,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,2.05,3.15,5.3,5.3,6.4,7.9,7.9,7.9,7.9,11.4,15.35,19.45,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,23.55,28.5,30.9,34.65,38.6,40.05,41.25,43,46,53,61.1,66.35,70.65,71.8,72.55,75.4,76.3,78.6,81.3,83.7,86.3,88.7,93.85,102.25,106.7,110.1,110.5,111.7,111.8,113.55,118,120.75,123,123,123,123.4,126.05,133.2,142.85,149.2,156.95,164.45,173,182.05,190.45,193.05,193.6,194.6,197.55,201.75,207.45,215.2,220.4,224.8,229.1,231.35,234.45,238.2,242.85,246.4,248.6,250.05,250.85,251.35,253.65,257.4,263.1,271.65,281.45,287.5,298.6,308.1,319.55,332.15,346.95,108,98,12,104,11.6428327977153,105,350,0,0,1,0,0,1,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4.1,4.55,4.55,4.55,4.55,4.55,5.65,10.5,11.35,12.65,15.45,20.75,26.3,30.8,32.85,35.95,39.55,41.35,43.85,46.1,46.1,47.25,47.25,48.6,50.45,50.45,50.45,50.75,50.8,51.6,53.1,54.65,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.8,58.95,61.3,61.5,63.2,65.5,67.2,67.2,68.85,70.2,70.2,71.6,74,78.15,82,82,83.15,87.25,88.5,92.6,96.95,102.35,109.55,119.1,127.25,131.8,137,144.7,148.9,150.35,151.3,151.35,151.35,152.9,153.8,154.95,156.2,159.35,165.3,171.8,180.2,187.75,197.8,208.6,217.75,224.8,226.2,226.8,227.4,229.2,232.25,233.95,238.1,242.05,246.7,252.45,259.45,267.15,274.55,280.05,285.05,288.8,295.7,304.55,311.95,315.9,322.65,331.55,342.8,354.1,362.1,369.1,105,100.6,11.7813411800185,103.2,11.2229922728101,104,350,0,0,1,0,0,1,0,0
1981,0,0,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.7,3.7,3.9,6.75,9.1,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,11.3,14.95,14.95,14.95,15,15.6,22.2,28.65,37.5,46.9,58.15,64.85,69.95,73.6,75.2,77.05,77.05,77.05,78.05,81.9,88.65,94.7,102.55,113.9,127.75,135.9,142.1,150.55,160.95,167.5,174.25,181.9,190.35,200.25,209.15,212.55,218.65,228.25,239.25,249.05,260.05,272.25,285.45,297.9,309.55,320.1,330.05,334.8,336.6,336.6,339.1,342.45,345.3,347.85,351.35,358.15,361.15,362.5,364.05,365.95,372.55,378.25,381.15,384.25,387.1,390.6,397.2,406.55,416.85,429.85,441.35,448.6,455.95,464.3,473.65,483.65,494.65,104,99.8,11.2782977438973,102.2,10.5809052332754,92,350,0,0,1,0,0,1,0,0
1982,1.4,3.1,5.55,10.15,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,19.15,20.9,20.9,20.9,20.9,20.9,21.85,21.85,24.1,24.95,28.1,30.75,34.5,37.15,38.5,39.25,39.25,39.25,39.25,39.25,39.25,39.25,39.25,39.25,39.25,39.25,39.25,39.25,39.25,39.25,44,46.15,51.25,55.8,56.9,56.9,56.9,57.45,60,62.75,64.3,66.15,66.3,66.3,69.2,72.5,72.95,73.4,74.5,75.95,77.75,78.65,79.75,83.1,85.8,90.3,96.2,102.85,108.95,108.95,108.95,112.35,116.5,122.6,129.9,138.85,148.75,156.95,162.6,164.4,165.55,169.35,170.5,170.95,171.8,175.6,180.4,186,190.85,196.05,199.9,204.75,210.7,216.3,219.3,224.25,228.5,233.75,240.15,244.3,246.2,250.2,256.9,265.6,272.4,275.75,279.95,284.65,290.5,295.8,300.1,306.7,315.8,325.95,337.55,350.35,364.4,92,97.8,11.6704755687161,100.7,10.8837289361485,108,350,0,0,1,0,0,1,0,0
1983,0,0,1.9,8,14.6,19.3,20.5,20.5,20.5,21.1,21.1,21.1,21.1,21.1,22.55,25.8,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,28.45,33.55,39.35,44.75,46.85,47.3,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,53.45,56.3,58.4,58.4,58.4,58.4,59.45,59.55,60.3,63.3,66.8,72.95,79.25,84.55,88.75,94.05,100.6,104.15,106.5,111.35,116.3,122.4,129.35,135.35,137.4,141.05,148.2,148.2,148.2,148.2,150.6,150.6,151.9,155.75,160.55,162.9,163.2,165.05,166.45,169.5,173.9,183.1,192.8,203.3,211.25,212.7,213.15,214.85,218.7,225.25,235.6,247.25,254.75,262.2,273,282.4,290.7,298.3,305.8,313.25,321.3,330.5,339.05,348.2,355.3,363,369.85,378.2,387.05,398.3,408.25,416.1,424.45,430.3,437.1,444.9,451.15,461,471.85,483.45,108,103.4,6.61815684310972,101.8,11.0232078412371,101,350,0,0,1,0,0,1,0,0
1984,0,0,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.0999999999999996,1.1,5.55,5.55,7.5,9.75,9.75,9.75,9.75,9.75,9.75,10.1,10.1,10.1,10.1,10.1,10.9,10.9,11.25,12.45,12.7,13.65,16.5,18.7,22,23.85,25.5,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.15,26.85,28,29.7,30.75,31.5,32.95,35.25,37.5,40.35,43.8,46.05,49.9,55.3,62.7,64.7,65.85,68.2,71.6,71.6,71.6,71.6,71.6,72.15,75.45,78.25,80.05,81.85,82.7,84.8,89.6,97.1,106.55,110.55,113.05,115.65,119.8,126.85,136.35,147.85,160.8,171.45,182.55,191.65,199.85,204.2,208.05,213.6,219.3,227.65,235.15,242,250.25,261.15,266.95,269.2,273.55,277.1,282.9,286.7,289.7,294.65,302.15,101,102,6.12372435695795,100,9.2255683353987,110,350,0,0,1,0,0,1,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1.75,7.35,13.4,14.85,14.85,15.05,18.3,19.7,21.5,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,26,26.2,28.55,30.5,32.35,35.6,36.1,37.4,38.8,39.55,41.9,43.4,45.3,45.85,45.85,45.85,45.85,45.85,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,50.6,53.45,55.55,60.85,68.55,70.4,70.4,71.3,76.15,82.75,92.1,101.1,111.2,123.55,131.2,138.25,147.05,152.5,158.65,164,168.6,170.5,173.35,176.4,179.9,183.4,190.6,197.25,203.8,213.35,225,236.05,243.95,246.7,251.05,251.1,253.1,253.35,254.4,259.35,267.85,272.05,274.35,276.3,284.5,291.65,299.45,305.25,310,317.25,324.5,333.95,343.45,353.45,364.45,375.45,110,103,7.07106781186548,101.8,9.24722180501317,106,350,0,0,1,0,0,1,0,0
1986,0,0.4,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,5.45,5.45,7.2,10.8,10.9,10.9,10.9,10.9,14.85,14.85,14.85,15.3,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,21.3,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.45,27,31.8,36.2,38.55,41.8,41.8,42.6,46.4,52.45,54.5,56,60.85,66,70.2,72.4,78.65,83.15,89.6,91.85,93.65,93.65,93.65,97.55,104.1,109.9,109.9,109.9,109.9,109.9,112.2,117.35,124.7,129.5,132.45,134.4,136.9,146.2,148.5,152.3,156.85,165.1,175.25,180.9,185.5,191.5,198.35,207.55,219.45,232.25,243.6,256.1,269.1,277.45,285.5,294.15,303.85,315.6,329.2,343.5,354.2,363.05,371.9,106,103.4,7.19722168617863,101.6,9.11896680307345,121,350,0,0,1,0,0,1,0,0
1987,6.15,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,8.95,10.2,11.3,16.2,18.3,18.8,21.6,21.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,25.6,31.45,37.6,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,44.15,44.15,44.15,44.15,44.95,46.8,53.15,59.7,64.1,70.55,75,76,76,76,76,77.6,81.95,86.65,91.75,98.25,107.2,115.25,121.3,124.85,129.15,132.3,134.65,137.45,142,148.3,156.95,168.5,180.6,189.3,192.4,199.05,208.5,219.6,229.4,239.6,250.7,263.15,276.6,289.4,301.85,314.65,319,319,321.55,325.3,330.65,337,347.6,357.85,366.4,373.3,377.35,381.75,387.2,391.6,121,109.2,7.39594483484024,103.5,10.9974744575491,112,350,0,0,1,0,0,1,0,0
