"","DATE","TMAX","TMIN","PRCP","SNWD","TAVG"
"100",1901-04-10,11.5,6.5,105,NA,9
"101",1901-04-11,15.5,5,55,NA,10.25
"102",1901-04-12,12.4,5,35,NA,8.7
"103",1901-04-13,8.5,3,30,NA,5.75
"104",1901-04-14,11.5,3,55,NA,7.25
"105",1901-04-15,15,7.5,34,NA,11.25
"106",1901-04-16,11,2,44,NA,6.5
"107",1901-04-17,8.5,2.5,8,NA,5.5
"108",1901-04-18,9.5,0.2,0,NA,4.85
"109",1901-04-19,13,-0.5,0,NA,6.25
"110",1901-04-20,18.5,2,0,NA,10.25
"111",1901-04-21,20.5,4.5,0,NA,12.5
"112",1901-04-22,20.5,6.5,0,NA,13.5
"113",1901-04-23,19,5.5,0,NA,12.25
"114",1901-04-24,17.5,7.5,0,NA,12.5
"115",1901-04-25,19,5.5,0,NA,12.25
"116",1901-04-26,17.5,5.5,35,NA,11.5
"117",1901-04-27,17.5,7,20,NA,12.25
"118",1901-04-28,14,4,10,NA,9
"119",1901-04-29,16.5,4,85,NA,10.25
"120",1901-04-30,12.5,4.5,10,NA,8.5
"121",1901-05-01,15,4,0,NA,9.5
"122",1901-05-02,18.5,2.5,50,NA,10.5
"123",1901-05-03,14.5,7,19,NA,10.75
"124",1901-05-04,18.5,5.5,0,NA,12
"125",1901-05-05,20,5,0,NA,12.5
"126",1901-05-06,18,7,75,NA,12.5
"127",1901-05-07,15.5,6.5,25,NA,11
"128",1901-05-08,13.6,6.6,40,NA,10.1
"129",1901-05-09,15,5,1,NA,10
"130",1901-05-10,14,5,6,NA,9.5
"131",1901-05-11,12,7,3,NA,9.5
"132",1901-05-12,18.5,8.5,0,NA,13.5
"133",1901-05-13,24,7.5,0,NA,15.75
"134",1901-05-14,23.6,7.5,0,NA,15.55
"135",1901-05-15,22.5,9.5,0,NA,16
"136",1901-05-16,15.5,8.5,5,NA,12
"137",1901-05-17,16.5,7.4,0,NA,11.95
"138",1901-05-18,16.5,6.5,0,NA,11.5
"139",1901-05-19,20.5,4.5,0,NA,12.5
"140",1901-05-20,22.5,6.5,0,NA,14.5
"141",1901-05-21,23.5,7.5,0,NA,15.5
"142",1901-05-22,23,8.5,0,NA,15.75
"143",1901-05-23,22,8,0,NA,15
"144",1901-05-24,22.6,7.5,0,NA,15.05
"145",1901-05-25,22,8.5,0,NA,15.25
"146",1901-05-26,24.5,11.5,5,NA,18
"147",1901-05-27,23.5,10,0,NA,16.75
"148",1901-05-28,27,10.5,3,NA,18.75
"149",1901-05-29,28.5,13,0,NA,20.75
"150",1901-05-30,27,13.5,3,NA,20.25
"151",1901-05-31,30.8,15,0,NA,22.9
"152",1901-06-01,32,16,0,NA,24
"153",1901-06-02,30,17.5,125,NA,23.75
"154",1901-06-03,23.5,15,0,NA,19.25
"155",1901-06-04,25.5,15,0,NA,20.25
"156",1901-06-05,26.7,12.5,0,NA,19.6
"157",1901-06-06,26.6,11.5,0,NA,19.05
"158",1901-06-07,25.5,13.5,0,NA,19.5
"159",1901-06-08,26.5,11.5,149,NA,19
"160",1901-06-09,23,14,292,NA,18.5
"161",1901-06-10,25.5,13,72,NA,19.25
"162",1901-06-11,22,14.5,0,NA,18.25
"163",1901-06-12,21.5,10.6,0,NA,16.05
"164",1901-06-13,16.5,10,5,NA,13.25
"165",1901-06-14,21.4,7,217,NA,14.2
"166",1901-06-15,15,10.4,155,NA,12.7
"167",1901-06-16,16.5,8.5,44,NA,12.5
"168",1901-06-17,16.8,9.5,20,NA,13.15
"169",1901-06-18,13.5,6,30,NA,9.75
"170",1901-06-19,14.5,6,0,NA,10.25
"171",1901-06-20,22,7,0,NA,14.5
"172",1901-06-21,25,9.5,0,NA,17.25
"173",1901-06-22,27,11.5,0,NA,19.25
"174",1901-06-23,29.5,13,124,NA,21.25
"175",1901-06-24,20.5,15.5,95,NA,18
"176",1901-06-25,22,13,0,NA,17.5
"177",1901-06-26,22,8.3,0,NA,15.15
"178",1901-06-27,23.5,9.5,0,NA,16.5
"179",1901-06-28,27.5,10,40,NA,18.75
"180",1901-06-29,27.5,16,0,NA,21.75
"181",1901-06-30,28.5,16,124,NA,22.25
"182",1901-07-01,23,15,87,NA,19
"183",1901-07-02,23,13,116,NA,18
"184",1901-07-03,21.5,10,0,NA,15.75
"185",1901-07-04,20.5,14,0,NA,17.25
"186",1901-07-05,25,13.5,0,NA,19.25
"187",1901-07-06,22.5,14,15,NA,18.25
"188",1901-07-07,26.5,13,0,NA,19.75
"189",1901-07-08,27,12.5,0,NA,19.75
"190",1901-07-09,29.5,13,0,NA,21.25
"191",1901-07-10,27,14.5,0,NA,20.75
"192",1901-07-11,27.5,14.5,0,NA,21
"193",1901-07-12,28,13,0,NA,20.5
"194",1901-07-13,30,14.2,0,NA,22.1
"195",1901-07-14,29,16,0,NA,22.5
"196",1901-07-15,27,16,0,NA,21.5
"197",1901-07-16,27,14.5,0,NA,20.75
"198",1901-07-17,28.5,12.5,0,NA,20.5
"199",1901-07-18,29.5,13,0,NA,21.25
"200",1901-07-19,30,15,0,NA,22.5
"201",1901-07-20,25.5,14,0,NA,19.75
"202",1901-07-21,30,13.5,20,NA,21.75
"203",1901-07-22,24,15.5,25,NA,19.75
"204",1901-07-23,22.5,15,34,NA,18.75
"205",1901-07-24,24,13.5,33,NA,18.75
"206",1901-07-25,23.5,15,12,NA,19.25
"207",1901-07-26,25,14,20,NA,19.5
"208",1901-07-27,23,13,25,NA,18
"209",1901-07-28,22.5,14.5,128,NA,18.5
"210",1901-07-29,24.5,14.5,67,NA,19.5
"211",1901-07-30,24.5,14.5,0,NA,19.5
"212",1901-07-31,21.6,16.7,114,NA,19.15
"213",1901-08-01,20,15.5,254,NA,17.75
"214",1901-08-02,17.5,15,110,NA,16.25
"215",1901-08-03,22.5,13,0,NA,17.75
"216",1901-08-04,25,11,0,NA,18
"217",1901-08-05,24,12,0,NA,18
"218",1901-08-06,20,14,20,NA,17
"219",1901-08-07,21.5,13,0,NA,17.25
"220",1901-08-08,24,11,0,NA,17.5
"221",1901-08-09,28.5,12.5,0,NA,20.5
"222",1901-08-10,29,15,10,NA,22
"223",1901-08-11,26.5,17.5,34,NA,22
"224",1901-08-12,18.5,14,155,NA,16.25
"225",1901-08-13,16.5,12.5,1,NA,14.5
"226",1901-08-14,23,14,0,NA,18.5
"227",1901-08-15,20,13.5,160,NA,16.75
"228",1901-08-16,18,12,5,NA,15
"229",1901-08-17,22.5,11,0,NA,16.75
"230",1901-08-18,22,12,0,NA,17
"231",1901-08-19,25,12.5,0,NA,18.75
"232",1901-08-20,25,12,0,NA,18.5
"233",1901-08-21,21,12,0,NA,16.5
"234",1901-08-22,23,10,0,NA,16.5
"235",1901-08-23,25,10,0,NA,17.5
"236",1901-08-24,26.5,13,0,NA,19.75
"237",1901-08-25,24.5,14,55,NA,19.25
"238",1901-08-26,21,13,131,NA,17
"239",1901-08-27,17.5,11,10,NA,14.25
"240",1901-08-28,17.5,8.5,20,NA,13
"241",1901-08-29,16.5,10,0,NA,13.25
"242",1901-08-30,20,6.5,0,NA,13.25
"243",1901-08-31,24.5,9.5,0,NA,17
"244",1901-09-01,23,13,0,NA,18
"245",1901-09-02,17.5,11.5,0,NA,14.5
"246",1901-09-03,19.5,11,7,NA,15.25
"247",1901-09-04,15.8,10,80,NA,12.9
"248",1901-09-05,14,10.5,0,NA,12.25
"249",1901-09-06,16,8,218,NA,12
"250",1901-09-07,19,12,0,NA,15.5
"251",1901-09-08,23,12,0,NA,17.5
"252",1901-09-09,25,12.5,38,NA,18.75
"253",1901-09-10,24,14.5,88,NA,19.25
"254",1901-09-11,21,14.5,314,NA,17.75
"255",1901-09-12,15,11,188,NA,13
"256",1901-09-13,13.5,11,33,NA,12.25
"257",1901-09-14,12.5,9.5,72,NA,11
"258",1901-09-15,16.5,10,0,NA,13.25
"259",1901-09-16,17,10.5,0,NA,13.75
"260",1901-09-17,19,7,67,NA,13
"261",1901-09-18,17,13,0,NA,15
"262",1901-09-19,19,8,0,NA,13.5
"263",1901-09-20,22,10,0,NA,16
"264",1901-09-21,23.5,12,0,NA,17.75
"265",1901-09-22,23,12.5,0,NA,17.75
"266",1901-09-23,21.5,13.4,0,NA,17.45
"267",1901-09-24,18,14,20,NA,16
"268",1901-09-25,16,13,40,NA,14.5
"269",1901-09-26,16,13.5,46,NA,14.75
"270",1901-09-27,20,14,0,NA,17
"271",1901-09-28,16.5,12.5,0,NA,14.5
"272",1901-09-29,19.5,12,0,NA,15.75
"273",1901-09-30,20.5,11.5,0,NA,16
"274",1901-10-01,20.5,10.5,5,NA,15.5
"275",1901-10-02,18,13,2,NA,15.5
"276",1901-10-03,15.5,10,3,NA,12.75
"277",1901-10-04,14.8,12,1,NA,13.4
"278",1901-10-05,15.5,10.5,0,NA,13
"279",1901-10-06,16.5,11.5,133,NA,14
"280",1901-10-07,16,4,65,NA,10
"281",1901-10-08,10,5,10,NA,7.5
"282",1901-10-09,16,8.5,180,NA,12.25
"283",1901-10-10,12,5,2,NA,8.5
"284",1901-10-11,12,1,0,NA,6.5
"285",1901-10-12,10,2,0,NA,6
"286",1901-10-13,12.5,0.5,0,NA,6.5
"287",1901-10-14,11,0.5,0,NA,5.75
"288",1901-10-15,12.5,5.5,0,NA,9
"289",1901-10-16,14.5,6,0,NA,10.25
"290",1901-10-17,16,6,0,NA,11
"291",1901-10-18,16.5,8,0,NA,12.25
"292",1901-10-19,16.5,8.5,0,NA,12.5
"293",1901-10-20,13,9,0,NA,11
"294",1901-10-21,13,9,0,NA,11
"295",1901-10-22,10,8,140,NA,9
"296",1901-10-23,12.5,8,3,NA,10.25
"297",1901-10-24,12,4.5,0,NA,8.25
"298",1901-10-25,12,1.8,0,NA,6.9
"299",1901-10-26,12,3,0,NA,7.5
"300",1901-10-27,10,6,0,NA,8
"301",1901-10-28,10,5,0,NA,7.5
"302",1901-10-29,10,2,0,NA,6
"303",1901-10-30,7.5,3.5,0,NA,5.5
"304",1901-10-31,10.5,5,0,NA,7.75
"305",1901-11-01,11,3,0,NA,7
"306",1901-11-02,10.2,-1.5,0,NA,4.35
"307",1901-11-03,4.5,-1.5,0,NA,1.5
"308",1901-11-04,4.2,-1,0,NA,1.6
"309",1901-11-05,6.5,-4,0,NA,1.25
"310",1901-11-06,7,-0.5,0,NA,3.25
"311",1901-11-07,7.5,-2.5,0,NA,2.5
"312",1901-11-08,6.5,-2.5,0,NA,2
"313",1901-11-09,5.5,0.5,0,NA,3
"314",1901-11-10,8.5,0,0,NA,4.25
"315",1901-11-11,9,2.5,0,NA,5.75
"316",1901-11-12,9,-2,0,NA,3.5
"317",1901-11-13,13.5,-1.5,74,NA,6
"318",1901-11-14,14.5,4,9,NA,9.25
"319",1901-11-15,8,4.5,80,NA,6.25
"320",1901-11-16,5.5,0,114,NA,2.75
"321",1901-11-17,1.5,-1,0,NA,0.25
"322",1901-11-18,0.5,-2.5,0,NA,-1
"323",1901-11-19,4.6,-1,3,NA,1.8
"324",1901-11-20,8,3,0,NA,5.5
"325",1901-11-21,10.5,5,0,NA,7.75
"326",1901-11-22,10,5,22,NA,7.5
"327",1901-11-23,8,0,30,NA,4
"328",1901-11-24,1.5,-4,0,NA,-1.25
"329",1901-11-25,0,-2.5,0,NA,-1.25
"330",1901-11-26,-0.5,-3.5,0,NA,-2
"331",1901-11-27,2,-3,0,NA,-0.5
"332",1901-11-28,2.6,-4.8,2,NA,-1.1
"333",1901-11-29,4,-1.5,7,NA,1.25
"334",1901-11-30,4.5,0.5,0,NA,2.5
"335",1901-12-01,5,-1,0,NA,2
"336",1901-12-02,7,1.5,0,NA,4.25
"337",1901-12-03,7,4,9,NA,5.5
"338",1901-12-04,6,1.5,0,NA,3.75
"339",1901-12-05,1.7,-3,0,NA,-0.65
"340",1901-12-06,-1.5,-4,0,NA,-2.75
"341",1901-12-07,0,-3.5,0,NA,-1.75
"342",1901-12-08,8.5,-1,83,NA,3.75
"343",1901-12-09,11,5,125,NA,8
"344",1901-12-10,9,1.5,25,NA,5.25
"345",1901-12-11,3.5,1,5,NA,2.25
"346",1901-12-12,3.5,-0.5,0,NA,1.5
"347",1901-12-13,3,0,82,NA,1.5
"348",1901-12-14,5,-0.5,0,NA,2.25
"349",1901-12-15,5,0.5,5,NA,2.75
"350",1901-12-16,2,-2,0,NA,0
"351",1901-12-17,-0.5,-4,0,NA,-2.25
"352",1901-12-18,2.5,-3.5,0,NA,-0.5
"353",1901-12-19,2.5,0,0,NA,1.25
"354",1901-12-20,3.5,0,0,NA,1.75
"355",1901-12-21,3.5,0.5,0,NA,2
"356",1901-12-22,2.5,-0.5,0,NA,1
"357",1901-12-23,0.5,-0.5,0,NA,0
"358",1901-12-24,7,-2,67,NA,2.5
"359",1901-12-25,12,4.5,0,NA,8.25
"360",1901-12-26,7,3,0,NA,5
"361",1901-12-27,8.5,1,0,NA,4.75
"362",1901-12-28,4,-1,48,NA,1.5
"363",1901-12-29,2.8,0.5,120,NA,1.65
"364",1901-12-30,9,2.4,0,NA,5.7
"365",1901-12-31,11,4.5,0,NA,7.75
"366",1902-01-01,7.5,0.5,10,NA,4
"367",1902-01-02,12.5,2.8,38,NA,7.65
"368",1902-01-03,10.5,7.4,0,NA,8.95
"369",1902-01-04,11,3.6,0,NA,7.3
"370",1902-01-05,8,3.5,0,NA,5.75
"371",1902-01-06,6,1,0,NA,3.5
"372",1902-01-07,7,1.5,0,NA,4.25
"373",1902-01-08,3.6,-2,0,NA,0.8
"374",1902-01-09,3.5,-3.5,0,NA,0
"375",1902-01-10,3.5,-4,0,NA,-0.25
"376",1902-01-11,4.5,-4,0,NA,0.25
"377",1902-01-12,5.5,-3,0,NA,1.25
"378",1902-01-13,4.5,-3,0,NA,0.75
"379",1902-01-14,1,-1,18,NA,0
"380",1902-01-15,0,-6,0,NA,-3
"381",1902-01-16,5,-5.5,0,NA,-0.25
"382",1902-01-17,6,0,0,NA,3
"383",1902-01-18,2.5,-4,0,NA,-0.75
"384",1902-01-19,1.5,-1,0,NA,0.25
"385",1902-01-20,3.5,-0.5,0,NA,1.5
"386",1902-01-21,5,0,0,NA,2.5
"387",1902-01-22,6,2,0,NA,4
"388",1902-01-23,6.5,1.2,0,NA,3.85
"389",1902-01-24,7.5,-1,30,NA,3.25
"390",1902-01-25,9.5,1.5,62,NA,5.5
"391",1902-01-26,3,-2,16,NA,0.5
"392",1902-01-27,7.5,-1,30,NA,3.25
"393",1902-01-28,9.5,3,44,NA,6.25
"394",1902-01-29,6.5,1,8,NA,3.75
"395",1902-01-30,2,-1,0,NA,0.5
"396",1902-01-31,3.7,-0.2,0,NA,1.75
"397",1902-02-01,3,-4,0,NA,-0.5
"398",1902-02-02,0.5,-5.4,0,NA,-2.45
"399",1902-02-03,3.5,-4.5,6,NA,-0.5
"400",1902-02-04,1.5,-1,45,NA,0.25
"401",1902-02-05,1,-1.5,6,NA,-0.25
"402",1902-02-06,5,-1.5,12,NA,1.75
"403",1902-02-07,12.5,4,30,NA,8.25
"404",1902-02-08,11.2,3.5,35,NA,7.35
"405",1902-02-09,8.5,0.5,109,NA,4.5
"406",1902-02-10,6,0.5,0,NA,3.25
"407",1902-02-11,5.5,0,0,NA,2.75
"408",1902-02-12,3,-3.5,2,NA,-0.25
"409",1902-02-13,2.5,-2.5,90,NA,0
"410",1902-02-14,-0.5,-3.5,88,NA,-2
"411",1902-02-15,-1.5,-4.5,30,NA,-3
"412",1902-02-16,-3,-4.5,0,NA,-3.75
"413",1902-02-17,0.5,-5,30,NA,-2.25
"414",1902-02-18,2.5,-4,65,NA,-0.75
"415",1902-02-19,2.5,-1.5,0,NA,0.5
"416",1902-02-20,4.1,-2,0,NA,1.05
"417",1902-02-21,3,0.5,0,NA,1.75
"418",1902-02-22,6,0,0,NA,3
"419",1902-02-23,8.5,-2,0,NA,3.25
"420",1902-02-24,9,0.8,0,NA,4.9
"421",1902-02-25,7,0,11,NA,3.5
"422",1902-02-26,5,-1,0,NA,2
"423",1902-02-27,7.5,2.5,40,NA,5
"424",1902-02-28,9.5,2.5,156,NA,6
"425",1902-03-01,11,3.5,3,NA,7.25
"426",1902-03-02,11.2,5.5,0,NA,8.35
"427",1902-03-03,11.5,1.5,0,NA,6.5
"428",1902-03-04,6,-1.5,0,NA,2.25
"429",1902-03-05,9,-3,0,NA,3
"430",1902-03-06,11.5,-1.5,0,NA,5
"431",1902-03-07,13,-1,0,NA,6
"432",1902-03-08,8.5,0,0,NA,4.25
"433",1902-03-09,8.5,5,7,NA,6.75
"434",1902-03-10,8,0,0,NA,4
"435",1902-03-11,8,-3.5,0,NA,2.25
"436",1902-03-12,10,-2.5,0,NA,3.75
"437",1902-03-13,11,-2.5,0,NA,4.25
"438",1902-03-14,14,1,0,NA,7.5
"439",1902-03-15,11.5,3.5,41,NA,7.5
"440",1902-03-16,9,3.5,21,NA,6.25
"441",1902-03-17,9,2,0,NA,5.5
"442",1902-03-18,12.5,-1,0,NA,5.75
"443",1902-03-19,16.5,-1,0,NA,7.75
"444",1902-03-20,18,2,0,NA,10
"445",1902-03-21,14.5,9,87,NA,11.75
"446",1902-03-22,12.5,2.5,166,NA,7.5
"447",1902-03-23,6.7,2.5,85,NA,4.6
"448",1902-03-24,8.5,1.5,3,NA,5
"449",1902-03-25,9,1.5,78,NA,5.25
"450",1902-03-26,9,3.5,0,NA,6.25
"451",1902-03-27,12,3,7,NA,7.5
"452",1902-03-28,13.8,9,9,NA,11.4
"453",1902-03-29,13,8,0,NA,10.5
"454",1902-03-30,12.5,4,2,NA,8.25
"455",1902-03-31,10,3.5,0,NA,6.75
"456",1902-04-01,19,8,0,NA,13.5
"457",1902-04-02,19.5,7,10,NA,13.25
"458",1902-04-03,18,8,73,NA,13
"459",1902-04-04,13.4,8.5,0,NA,10.95
"460",1902-04-05,14,7,0,NA,10.5
"461",1902-04-06,11.5,5,0,NA,8.25
"462",1902-04-07,10,4,0,NA,7
"463",1902-04-08,12.5,-1,0,NA,5.75
"464",1902-04-09,15,2,16,NA,8.5
"465",1902-04-10,15,7,0,NA,11
"466",1902-04-11,18,8.5,25,NA,13.25
"467",1902-04-12,19,9,0,NA,14
"468",1902-04-13,18,8,0,NA,13
"469",1902-04-14,18,8.5,0,NA,13.25
"470",1902-04-15,18.5,8.5,0,NA,13.5
"471",1902-04-16,15.5,10,97,NA,12.75
"472",1902-04-17,14.4,9,39,NA,11.7
"473",1902-04-18,16.5,9.5,0,NA,13
"474",1902-04-19,20,5.5,0,NA,12.75
"475",1902-04-20,20.5,9.5,31,NA,15
"476",1902-04-21,17,11,0,NA,14
"477",1902-04-22,22.5,6,26,NA,14.25
"478",1902-04-23,16.5,11,27,NA,13.75
"479",1902-04-24,16.5,10.5,0,NA,13.5
"480",1902-04-25,20,9,22,NA,14.5
"481",1902-04-26,14.5,9,112,NA,11.75
"482",1902-04-27,14.6,9.4,5,NA,12
"483",1902-04-28,13,2.6,0,NA,7.8
"484",1902-04-29,12.5,0.5,0,NA,6.5
"485",1902-04-30,14,1,0,NA,7.5
"486",1902-05-01,11.5,6,25,NA,8.75
"487",1902-05-02,12,4.5,1,NA,8.25
"488",1902-05-03,13,7,30,NA,10
"489",1902-05-04,14,7,5,NA,10.5
"490",1902-05-05,11.5,5,52,NA,8.25
"491",1902-05-06,11.5,4,17,NA,7.75
"492",1902-05-07,8,2,4,NA,5
"493",1902-05-08,8,0.5,11,NA,4.25
"494",1902-05-09,8,2.5,23,NA,5.25
"495",1902-05-10,11.5,4,28,NA,7.75
"496",1902-05-11,14,1.5,1,NA,7.75
"497",1902-05-12,13,3.5,0,NA,8.25
"498",1902-05-13,15,3.5,80,NA,9.25
"499",1902-05-14,13,4,10,NA,8.5
"500",1902-05-15,14.5,3,8,NA,8.75
"501",1902-05-16,16,8,28,NA,12
"502",1902-05-17,16,8,165,NA,12
"503",1902-05-18,13,6,86,NA,9.5
"504",1902-05-19,9.5,4.5,10,NA,7
"505",1902-05-20,12,4.5,10,NA,8.25
"506",1902-05-21,13,6,15,NA,9.5
"507",1902-05-22,11,6.5,26,NA,8.75
"508",1902-05-23,13,4,6,NA,8.5
"509",1902-05-24,14.5,3,0,NA,8.75
"510",1902-05-25,18.5,8.6,0,NA,13.55
"511",1902-05-26,20,10,0,NA,15
"512",1902-05-27,22.5,5.5,0,NA,14
"513",1902-05-28,26.5,8,0,NA,17.25
"514",1902-05-29,27,12,0,NA,19.5
"515",1902-05-30,27.5,12,0,NA,19.75
"516",1902-05-31,28,11,0,NA,19.5
"517",1902-06-01,30,11.7,0,NA,20.85
"518",1902-06-02,27,13,0,NA,20
"519",1902-06-03,29,14,0,NA,21.5
"520",1902-06-04,24,15,0,NA,19.5
"521",1902-06-05,20.5,13.5,0,NA,17
"522",1902-06-06,21.5,13.5,0,NA,17.5
"523",1902-06-07,18.5,12.5,30,NA,15.5
"524",1902-06-08,16,9,0,NA,12.5
"525",1902-06-09,16.5,9,42,NA,12.75
"526",1902-06-10,17.5,10,3,NA,13.75
"527",1902-06-11,18.5,8.5,13,NA,13.5
"528",1902-06-12,24,10.5,19,NA,17.25
"529",1902-06-13,19.6,12,12,NA,15.8
"530",1902-06-14,15.5,7,10,NA,11.25
"531",1902-06-15,15.5,7,1,NA,11.25
"532",1902-06-16,16.5,6.5,22,NA,11.5
"533",1902-06-17,18.5,6.5,1,NA,12.5
"534",1902-06-18,18,8,0,NA,13
"535",1902-06-19,24.5,9,0,NA,16.75
"536",1902-06-20,17,10.5,53,NA,13.75
"537",1902-06-21,16.5,10,162,NA,13.25
"538",1902-06-22,23,11,0,NA,17
"539",1902-06-23,25,10.5,0,NA,17.75
"540",1902-06-24,25.5,12.5,0,NA,19
"541",1902-06-25,22.5,11.5,0,NA,17
"542",1902-06-26,25,9,0,NA,17
"543",1902-06-27,26,11,0,NA,18.5
"544",1902-06-28,28.5,11,0,NA,19.75
"545",1902-06-29,26.5,14,0,NA,20.25
"546",1902-06-30,28.5,15,0,NA,21.75
"547",1902-07-01,28,17.5,0,NA,22.75
"548",1902-07-02,24,15,20,NA,19.5
"549",1902-07-03,23.5,9.5,0,NA,16.5
"550",1902-07-04,28,10,0,NA,19
"551",1902-07-05,30,12,0,NA,21
"552",1902-07-06,29,15,0,NA,22
"553",1902-07-07,32.5,15,0,NA,23.75
"554",1902-07-08,32,17,0,NA,24.5
"555",1902-07-09,31.5,17.5,95,NA,24.5
"556",1902-07-10,26.5,16.5,54,NA,21.5
"557",1902-07-11,18.5,11.5,2,NA,15
"558",1902-07-12,19.5,9,0,NA,14.25
"559",1902-07-13,24,7,0,NA,15.5
"560",1902-07-14,32.5,15,0,NA,23.75
