"Year","CUMSUM_GDD_DAY_1","CUMSUM_GDD_DAY_2","CUMSUM_GDD_DAY_3","CUMSUM_GDD_DAY_4","CUMSUM_GDD_DAY_5","CUMSUM_GDD_DAY_6","CUMSUM_GDD_DAY_7","CUMSUM_GDD_DAY_8","CUMSUM_GDD_DAY_9","CUMSUM_GDD_DAY_10","CUMSUM_GDD_DAY_11","CUMSUM_GDD_DAY_12","CUMSUM_GDD_DAY_13","CUMSUM_GDD_DAY_14","CUMSUM_GDD_DAY_15","CUMSUM_GDD_DAY_16","CUMSUM_GDD_DAY_17","CUMSUM_GDD_DAY_18","CUMSUM_GDD_DAY_19","CUMSUM_GDD_DAY_20","CUMSUM_GDD_DAY_21","CUMSUM_GDD_DAY_22","CUMSUM_GDD_DAY_23","CUMSUM_GDD_DAY_24","CUMSUM_GDD_DAY_25","CUMSUM_GDD_DAY_26","CUMSUM_GDD_DAY_27","CUMSUM_GDD_DAY_28","CUMSUM_GDD_DAY_29","CUMSUM_GDD_DAY_30","CUMSUM_GDD_DAY_31","CUMSUM_GDD_DAY_32","CUMSUM_GDD_DAY_33","CUMSUM_GDD_DAY_34","CUMSUM_GDD_DAY_35","CUMSUM_GDD_DAY_36","CUMSUM_GDD_DAY_37","CUMSUM_GDD_DAY_38","CUMSUM_GDD_DAY_39","CUMSUM_GDD_DAY_40","CUMSUM_GDD_DAY_41","CUMSUM_GDD_DAY_42","CUMSUM_GDD_DAY_43","CUMSUM_GDD_DAY_44","CUMSUM_GDD_DAY_45","CUMSUM_GDD_DAY_46","CUMSUM_GDD_DAY_47","CUMSUM_GDD_DAY_48","CUMSUM_GDD_DAY_49","CUMSUM_GDD_DAY_50","CUMSUM_GDD_DAY_51","CUMSUM_GDD_DAY_52","CUMSUM_GDD_DAY_53","CUMSUM_GDD_DAY_54","CUMSUM_GDD_DAY_55","CUMSUM_GDD_DAY_56","CUMSUM_GDD_DAY_57","CUMSUM_GDD_DAY_58","CUMSUM_GDD_DAY_59","CUMSUM_GDD_DAY_60","CUMSUM_GDD_DAY_61","CUMSUM_GDD_DAY_62","CUMSUM_GDD_DAY_63","CUMSUM_GDD_DAY_64","CUMSUM_GDD_DAY_65","CUMSUM_GDD_DAY_66","CUMSUM_GDD_DAY_67","CUMSUM_GDD_DAY_68","CUMSUM_GDD_DAY_69","CUMSUM_GDD_DAY_70","CUMSUM_GDD_DAY_71","CUMSUM_GDD_DAY_72","CUMSUM_GDD_DAY_73","CUMSUM_GDD_DAY_74","CUMSUM_GDD_DAY_75","CUMSUM_GDD_DAY_76","CUMSUM_GDD_DAY_77","CUMSUM_GDD_DAY_78","CUMSUM_GDD_DAY_79","CUMSUM_GDD_DAY_80","CUMSUM_GDD_DAY_81","CUMSUM_GDD_DAY_82","CUMSUM_GDD_DAY_83","CUMSUM_GDD_DAY_84","CUMSUM_GDD_DAY_85","CUMSUM_GDD_DAY_86","CUMSUM_GDD_DAY_87","CUMSUM_GDD_DAY_88","CUMSUM_GDD_DAY_89","CUMSUM_GDD_DAY_90","CUMSUM_GDD_DAY_91","CUMSUM_GDD_DAY_92","CUMSUM_GDD_DAY_93","CUMSUM_GDD_DAY_94","CUMSUM_GDD_DAY_95","CUMSUM_GDD_DAY_96","CUMSUM_GDD_DAY_97","CUMSUM_GDD_DAY_98","CUMSUM_GDD_DAY_99","CUMSUM_GDD_DAY_100","CUMSUM_GDD_DAY_101","CUMSUM_GDD_DAY_102","CUMSUM_GDD_DAY_103","CUMSUM_GDD_DAY_104","CUMSUM_GDD_DAY_105","CUMSUM_GDD_DAY_106","CUMSUM_GDD_DAY_107","CUMSUM_GDD_DAY_108","CUMSUM_GDD_DAY_109","CUMSUM_GDD_DAY_110","CUMSUM_GDD_DAY_111","CUMSUM_GDD_DAY_112","CUMSUM_GDD_DAY_113","CUMSUM_GDD_DAY_114","CUMSUM_GDD_DAY_115","CUMSUM_GDD_DAY_116","CUMSUM_GDD_DAY_117","CUMSUM_GDD_DAY_118","CUMSUM_GDD_DAY_119","CUMSUM_GDD_DAY_120","CUMSUM_GDD_DAY_121","CUMSUM_GDD_DAY_122","CUMSUM_GDD_DAY_123","CUMSUM_GDD_DAY_124","CUMSUM_GDD_DAY_125","CUMSUM_GDD_DAY_126","CUMSUM_GDD_DAY_127","CUMSUM_GDD_DAY_128","CUMSUM_GDD_DAY_129","CUMSUM_GDD_DAY_130","CUMSUM_GDD_DAY_131","CUMSUM_GDD_DAY_132","CUMSUM_GDD_DAY_133","CUMSUM_GDD_DAY_134","CUMSUM_GDD_DAY_135","CUMSUM_GDD_DAY_136","last_year_bloom_doy","avg_last_5","sd_last_5","avg_last_10","sd_last_10","bloom_doy"
1961,0,0,0.7,2,2,2,2,2,2,3.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5.3,5.3,5.3,5.3,5.3,6,6,6,6,6,6,6.4,9.6,12.9,13.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,17.2,20.6,20.6,20.6,20.6,21.6,21.8,21.8,22.8,27.3,36.4,44.6,51.7,55.4,57.6,59.2,59.2,59.2,59.2,60.2,64.7,68.5,72.6,77.2,80.8,86.4,97,102.3,106.3,109.4,113.3,115.8,121,129.1,131.2,133.4,135.8,142,149.7,157.6,166.8,174.2,183.8,197.7,211.4,216.7,223.4,231.3,234.5,240.9,250.9,260.9,274.3,288.8,298.4,305.4,315,322.2,333.7,347.8,362.1,375,389.5,400.3,408.8,419.4,429,443.2,456.3,470.2,486.8,504.5,518.3,531.5,541.8,552.5,567.4,583.2,600.9,619.1,638,652.1,667.3,683.6,701.4,717.2,95,97.6,4.2190046219458,98.7,3.74314187696794,99
1962,0,0.2,0.2,1.6,2.6,2.6,3,3,4.7,5.8,6.5,7.5,9.5,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,12.6,13.6,13.9,15.7,18.8,25.6,35.7,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.5,37.5,39.5,42.3,47.6,49.2,51.8,51.9,51.9,51.9,51.9,51.9,53.65,55.45,60.25,63.75,64.85,66.65,70.05,75.45,80.75,86.35,91.75,101.25,107.65,110.05,110.05,111.75,118.05,126.15,133.55,135.95,137.35,137.35,139.15,140.55,142.65,150.55,156.05,158.25,162.85,172.35,183.55,188.45,190.05,194.85,203.55,215.15,228.25,239.95,249.95,258.25,268.85,278.15,284.15,292.25,302.85,315.05,318.65,324.35,336.45,348.25,360.65,372.65,382.65,393.85,405.45,417.05,424.95,433.35,443.75,454.05,467.85,483.05,497.15,506.05,518.85,530.85,546.95,559.35,572.25,588.65,600.45,613.85,624.95,635.65,650.95,99,97.6,4.2190046219458,98.8,3.73571352696584,102
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.6,6.1,8.2,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,12.5,12.5,13.5,16.5,23.2,29.3,32.1,36.3,41.5,49.6,58.9,65.1,74.2,75.5,78.2,83.8,90.3,100.5,101.9,104.6,113.4,124.3,126,134.1,144.7,157.8,171.7,177.1,182.5,184.6,187.9,195.7,207.1,218.7,232.8,246.2,262.6,279.7,297.1,304.1,315.2,325.9,337.7,346.3,355.5,362.7,372.2,385.7,397.7,412.5,426.7,436.6,445.8,457.7,469.1,482.9,497.1,511.9,527.5,541.3,553.3,563.3,574.7,592.4,610.8,625.1,642.1,102,97.4,3.91152144312159,98.5,3.27448045073142,101
1964,1.7,2.9,4.5,4.5,4.5,5.9,8.7,10.9,10.9,11.1,13.2,19,27.5,31.2,33,35.9,39.5,42.2,42.2,42.2,42.2,43.8,45.2,45.8,46.6,46.6,46.6,48.2,50.4,53.1,54.4,54.4,54.4,54.4,54.4,54.4,54.4,57.7,60.5,64.6,66.7,66.7,66.7,66.7,66.7,66.7,68.4,69.3,69.3,69.3,69.7,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,73.5,75.1,77.6,81.4,86.1,90.6,92.7,92.7,93.3,94.7,96.7,97.7,97.7,100,101.7,106.6,108.2,108.2,111.8,116.7,118.4,119,119.6,123.4,124.7,127.5,128.5,131.2,137.3,147.3,160.1,172.3,183.7,195.3,207.9,223.7,239.1,244,252.3,259.1,269,280.4,292.8,307.7,324.5,341.6,357.6,375.9,394.1,412,428.8,446.9,465.6,478.5,493,506.8,518.2,528.1,536.6,546.9,561.4,572.8,587,598.2,613,625,639.1,656.3,673.1,690.6,708,718.8,730.5,744.3,758.1,771.3,101,97.8,4.20713679359253,98.5,3.27448045073142,99
1965,4.85,6.15,6.5,6.5,6.5,6.5,6.5,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,9.9,13.45,15.2,16.65,18.6,18.6,18.6,18.6,19.9,19.9,20.35,20.35,21.35,21.8,21.8,21.8,21.8,21.8,21.8,22.8,23.85,26.4,31.15,33.35,33.4,34.65,40,40.4,40.4,40.5,41.7,43.35,45.55,49.55,49.55,49.55,49.55,49.55,49.55,49.55,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,52,53.3,53.3,55.35,58.85,59.6,61.05,63.65,69.4,71.05,76.75,82.85,82.85,83.65,85.9,90.35,95.8,103.45,104.25,104.25,105.2,107.55,112.2,117.7,120,120.85,123,125.55,126.85,130.25,135.3,139.35,149.8,156.7,159.65,164.2,170.85,176.45,185.1,195.3,207.1,217.35,228.1,236.1,240.5,246.25,254.65,265.7,277.45,290.75,299.2,306.35,312.65,320.25,327.7,336.1,345.25,354.9,365.45,378.9,393.05,408.35,423.95,439.35,453.35,464.75,477.9,491.15,507.4,520.9,99,99.2,2.68328157299975,98.6,3.27278338896895,110
1966,0,0,0,1.1,1.2,1.85,4.1,4.75,6.2,7.75,13,13,14.05,15.75,17.1,17.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.8,21.8,21.8,21.8,24.1,24.5,25.4,29.65,35.15,37.8,37.8,37.8,37.8,37.8,39.95,44,47.1,47.1,47.1,47.1,47.25,49,54.65,59.15,61.25,63.5,72.55,77.95,78.55,78.55,81.8,87.9,92.15,99.95,106.7,113.15,123.1,136.25,143.6,143.85,146.85,147.9,150.45,154.25,158.55,164.1,172.7,179,182.65,190,195.9,201.25,206.15,208.25,211.1,215.5,221.95,227.1,230.45,232.5,235.55,237.55,241.8,244.25,246,253.05,260.95,269.15,273.85,279.35,284.85,293.4,301.65,310.1,315.75,319.4,327.8,335.25,346.3,357.5,366.6,372.55,377.05,382.9,391.3,402.9,413.3,425.8,443.1,460.25,476.2,492.8,510,528.55,540.75,550.25,562.55,571.35,581.2,592.7,607.25,620.95,635.4,649.6,665.6,678.3,691.7,708.3,724.45,738.9,750.2,110,102.2,4.54972526643093,99.9,4.79467296996249,97
1967,2.85,3.25,3.25,3.25,3.25,3.25,4.9,4.9,4.9,4.9,4.9,5.15,6.65,6.65,6.65,6.65,6.65,6.65,7.95,10.55,11.55,13,14.8,17.65,19.1,20.95,23.75,25,30,30,30,30,30,30.7,30.75,30.75,33.5,35.7,37.55,41.8,43.35,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,47.75,54.15,61.5,64.05,66.2,67.75,69.75,69.75,69.75,71.5,77.05,83.7,87.6,89.5,89.7,90.25,93.15,93.15,94.9,97.55,102.7,105.85,107.75,112.1,118.05,122.4,125.95,129.75,135.85,142.05,144.2,145.3,148.85,157,169.35,176.6,182.6,188.2,199.15,210.15,221.35,234.65,242.65,249.55,258,266.85,276.2,285,299.85,308.85,314.1,321.85,333.3,338.35,343.05,351.65,362.35,373.4,384.35,394.25,402.7,412.1,420.1,429.4,441.25,454.65,467.85,483.2,500.15,516.95,530.65,545.4,558.35,569.95,584.25,597.95,613.65,627.65,640.35,657.7,673.15,691.9,708.8,720.75,734.7,97,101.8,4.96990945591567,99.7,4.87738545625511,97
1968,0,0,2.85,3.95,4,5.6,10,10,10,10,10,10,11.1,11.65,11.65,11.65,11.65,14.75,15.65,15.65,15.65,15.65,15.65,17.05,17.05,17.05,17.05,17.05,17.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.2,19.55,21.7,26.8,30.75,31.75,31.75,32,32.9,36.75,41.85,46.6,46.6,47.05,47.05,50.2,54.65,58.25,63.05,68.6,69.15,71,76.2,81.1,93.65,100.35,105.7,114,118.45,122.35,127.35,134.2,141.15,152.6,162.15,170.4,177.05,184.35,195.55,205.05,212.95,221.35,230.3,244,255.85,264.6,273.65,281.65,292.65,304.95,318.35,332.15,342.4,350.3,358.8,368.25,377.55,387.05,399.45,410.95,425,440.35,452.5,465.5,474.8,486.15,501.05,515.55,527.25,542.35,558.8,569.55,579.35,590.35,603.6,619.45,633,644.65,656.95,667.5,97,100.8,5.40370243444252,99.1,4.79467296996249,99
1969,0,0,0,0,0.9,1,1,1,1,1,3.85,4.6,4.6,4.6,4.6,4.6,4.6,4.75,8.35,12.55,16.15,17,22.05,23.5,24.25,30.05,40.2,46.25,48.5,50.75,53.65,58.15,59.85,59.85,59.85,59.85,59.85,59.85,61.75,64.9,67.7,70.7,76.85,82.5,87.6,89.6,89.7,93.85,98.55,104.7,107.6,107.6,107.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,110.85,112.6,115.15,119.05,122.5,123.35,123.35,123.35,123.35,126,127.75,129.1,131.35,134.1,140.25,144.4,145.55,149.1,153.35,159.95,170.55,182.7,193.1,204.2,210.65,216.45,226,232.6,239.8,247.85,249.7,253.05,259.05,266.65,273.75,281.4,290.5,300.4,313.9,330.8,344.95,351.6,357.7,365.15,372.85,382.05,394.7,407.8,421.65,437.35,451.35,463.45,473.3,487.15,501.65,517.9,532.85,547.85,564.45,580.9,596.55,606.7,618.7,635.3,654.4,673.5,689.7,705.45,719.3,738.3,758.25,775.2,99,100.4,5.45893762558247,99.1,4.79467296996249,101
1970,0.9,2.95,4.5,5.6,5.6,5.6,6,6.5,7.6,7.75,9.55,10.4,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,13.1,14.35,14.65,14.65,14.85,15.45,15.45,16.95,19.95,20.8,20.8,21.15,21.15,21.6,21.6,21.6,21.6,23.25,23.25,23.25,23.25,24.5,27.75,33.1,34.8,34.8,36.1,39.3,46.15,54,59.6,62.95,64.05,64.05,72.65,74.2,76.4,78.05,78.05,78.05,78.05,79.35,79.35,79.35,79.35,80.55,83.65,87.2,89.35,89.35,89.35,89.4,91,96,96.15,97.35,97.35,97.35,97.35,97.35,97.35,98.3,100.1,102.55,107.1,117.85,126.25,132.6,137.7,143.45,150.05,155.4,161.35,166.1,172.65,182.05,190.05,198.8,208.35,217.25,225.75,230.75,236.3,244.45,256.5,269.45,282.3,294.6,305.6,317.2,327.25,337.15,349.95,360,373.4,385.75,397.15,407.8,421.1,433.9,448.9,461.8,475.75,490.7,503.45,515.9,530.65,547.6,566,579.9,593.15,606.85,621.6,635.35,650.3,101,100.8,5.40370243444252,100,4.10960933531265,107
1971,1.85,2.65,2.75,2.8,2.8,2.8,4.7,6.95,7.75,7.75,8.55,11.5,13.4,15.1,15.35,16.3,16.55,20.8,23.6,27.25,33.65,36.7,36.7,36.7,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,41,43.95,48.3,52.7,58.45,60.8,61.95,62.45,63.8,70.6,77.75,79.8,81.4,85.75,90.75,92.5,93.65,97.4,101.5,101.5,101.5,102.15,102.15,102.15,102.5,102.55,102.55,104.55,107.9,107.9,108.45,112,115.2,118.85,124.45,131.1,140.9,150.85,153.45,155.1,159.6,166.75,176.05,185.35,195.9,203.75,211.9,224,235.25,243.3,251.3,259.85,269.4,278.45,289.5,298.2,303.7,309.95,317.9,328.4,340.7,353.45,362.3,369.65,377.9,385.7,396.2,408.55,419.75,431.85,443.95,456,468.7,479.75,488.9,499.65,510.8,521.6,533,546.2,556.75,567.05,576.1,587.75,598.55,609.25,622.7,640.1,658.6,676,691.25,706.2,723.85,107,100.2,4.14728827066554,101.2,4.23739962188552,98
1972,4.2,4.75,4.75,6.65,13.4,14.65,16.4,19,21.4,24.5,30.9,39.15,42.9,46.65,51.8,53.6,53.9,54.65,57.15,61.65,67.15,70.7,74.7,78.4,87.45,92.3,95.7,97.15,98.35,101.25,102.9,108.65,114.4,117.4,118.5,122.8,123.95,125.9,126,126.65,128.35,131.15,133.7,136.7,140.95,143.5,144.6,150.8,156.4,160.85,161.4,161.4,161.5,163,164.2,164.2,165.95,168.3,168.75,168.85,168.85,168.85,170.15,170.95,172.4,173.45,177,180.85,184.9,187.85,190,192.9,195.1,196.85,199.15,202.15,208.55,218.8,230,242.3,246.85,251.2,258.1,267.15,273.75,279.9,287.6,295.75,306.15,316.7,324.35,325.9,327.95,332.9,343.55,357.15,370.65,380.9,385.85,390.15,394.95,400.6,408.05,416.5,427.45,437.5,452.35,466.05,482.1,500.1,511.6,521.35,531,543.1,555.15,568.3,581.6,596.35,609.95,625.7,641.55,657.95,669.35,681.05,695.15,711.55,727.45,743.35,758.7,774.65,788.8,806.95,825.15,840.15,856.1,872.05,98,100.4,3.97492138287036,101.1,4.30632609592498,99
1973,1.5,3.5,3.5,3.5,4.8,8.3,14.3,18.1,20.6,23.1,23.1,23.1,23.1,24.4,24.4,25.7,30.5,37.5,41.6,43.1,44.8,48.6,54.9,63.9,68.9,70.1,70.1,70.1,70.4,70.9,72.95,75.45,75.45,77.75,81.75,87.45,92.25,92.25,92.25,92.55,92.85,94.2,95.7,98.7,101.9,105.7,110.7,116.2,125.7,132.7,136.5,139.5,144.3,149.3,149.3,149.3,151.3,153.75,158.25,159.95,160.45,160.95,163.65,163.65,163.65,165.15,166.85,168.55,170.05,174.25,179.9,184.4,186.1,186.8,188.5,190.7,192.75,194.55,201.55,206.4,210.1,215.4,220.4,220.7,222.5,228,238.8,252.35,265.85,279.15,292.85,301.55,311.35,315.85,321.55,327.55,338.25,353.05,370.75,385,401.5,411,421,433,441.7,455,467.65,476.85,489.85,502,513,525.5,541.5,557.65,574.65,588.15,598.95,610.25,621.75,636.2,654.5,668.5,680,690.1,701.3,716.3,731.15,744.8,758.6,772.1,781.9,793.7,807.9,822.4,839.2,853.4,99,100.8,3.63318042491699,100.8,4.34101882562659,97
1974,0.8,2,2,2.5,3,3.7,6.15,7.85,7.85,7.85,7.85,7.85,7.85,7.85,8.85,10,10,10,10,10,10.3,11,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.6,12.1,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,13.9,17.9,21.4,25.75,31.75,35.75,36.45,45.45,47.15,47.15,47.15,47.15,47.15,47.15,49.95,52.15,57.65,65.65,74.65,83.85,87.85,90.65,95.85,99,99,99,99,99,103.8,106.3,108.5,111.7,113.9,116,118.8,120.5,122,122.3,123.2,125.4,125.9,128.2,134.2,143,154,161,163,167.7,179.2,186.7,196.7,210.2,220.2,230.75,240.85,249.05,260.1,275.1,284.1,295.6,304.8,316.3,330.3,339.1,351.3,362.6,372.6,383.9,399.2,412.5,424.3,435,446.25,457.25,472.05,481.55,493.05,506.85,521.15,531.15,541.65,556.95,572.65,586.65,599.45,613.45,629.95,645.95,661.45,675.45,689.95,97,100.4,3.97492138287036,100.4,4.5018514709691,99
1975,2.5,3.5,3.5,3.5,3.5,3.5,4.9,10.85,12.05,12.25,12.25,12.25,12.25,12.25,13.95,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.45,18.45,21.75,23.95,25.95,26.35,26.35,26.35,26.35,26.85,26.85,27.55,32.75,34.75,39.55,45.75,45.75,46.25,48.45,48.45,48.95,49.65,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,53.65,53.65,53.65,53.65,53.65,53.65,56.15,58.95,61.15,65.35,66.55,69.35,76.35,82.85,88.15,91.65,92.95,97.15,102.65,105.65,109.65,112.45,118.75,125.55,129.35,133.05,137.45,139.35,139.8,142,145.8,151.3,159.3,166.35,169.65,172.15,174.9,178.4,184.9,195.9,204.95,216.45,225.65,235.95,248.75,256.45,268.25,278.05,289.05,301.55,316.35,327.65,338.85,348.35,360.55,369.55,378.05,386.55,394.85,407.85,423.65,438.15,453.15,468.85,481.85,498.65,513.95,527.45,543.25,557.05,567.6,579.6,595.3,609.1,623.3,635.8,651.1,667.1,682.9,700.9,717.6,99,100,4,100.4,4.5018514709691,100
1976,1.2,3,6.3,12.5,15,15,15.5,18.8,18.8,18.8,18.8,18.8,18.8,19.3,19.3,19.3,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.8,28.45,29.15,29.15,30.85,32.85,35.05,39.85,41.85,41.85,41.85,42.35,42.35,44.85,44.85,44.85,44.85,48.05,57.05,66.25,71.95,79.45,84.25,84.25,87.95,92.95,94.25,94.75,96.05,97.85,104.85,114.85,118.05,119.25,119.25,119.55,119.55,123.35,128.8,134.3,139.1,143.9,149.2,157.5,162.3,163.8,168.6,174.3,183.1,193.9,200.85,201.55,201.55,201.55,201.55,202.05,202.35,204.55,212.75,219.05,223.55,231.85,237.65,242.45,248.25,253.55,256.35,260.35,266.85,272.65,276.8,281.3,284.1,289.1,298.6,307.8,321.8,331.8,344,355.55,368.05,378.55,391.05,406.05,419.55,435.55,449.25,458.25,470.25,483.45,498.75,514.25,524.55,538.55,551.55,561.75,572.05,583.1,592.9,602.4,613.7,625.2,638.5,653.8,668.6,681.4,692.6,704.4,719.9,100,98.6,1.14017542509914,99.4,2.98886823619465,99
1977,0,0,0,0,0,0,0,0.5,3.3,4.1,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,5.7,8.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,13.4,16.5,16.5,16.5,16.5,16.5,16.5,18,18,18,18.3,21,28,34,38.8,44.75,51.4,56.9,56.9,56.9,56.9,56.9,61.6,68.1,78.5,80.7,84.5,89.3,95.8,102.8,110,114.4,121.9,130.1,136.6,140.3,146.1,151.9,160.9,164.7,168.45,176.15,183.15,186.45,193.15,200.95,207.15,213.65,220.85,226.05,232.05,239.35,247.55,255.05,262.55,270.05,279.85,291.85,304.65,317.35,333.05,350.85,362.35,374.05,382.55,391.55,404.05,413.85,425.15,439.65,453.15,465.95,478.15,492.15,505.85,514.55,524.85,536.55,548.55,562.25,572.75,584.25,600.45,612.45,625.45,638.95,655.65,672.95,688.75,706.75,725.05,736.35,745.85,99,98.8,1.09544511501033,99.6,2.87518115371304,93
1978,7.25,8.95,8.95,8.95,9.45,12.65,16.45,18.65,21,21,21,23.2,25.9,30.7,35.2,35.2,35.2,35.7,35.7,36.5,36.5,36.5,36.5,36.5,36.5,36.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,42,42,43.5,45,47.5,54.5,57.5,57.5,58.2,58.2,58.2,58.2,58.2,58.2,58.2,59,59,59.55,59.55,60.05,60.05,60.05,61.55,65.35,65.35,67.2,73.2,77.5,79,81,86,92.3,100.8,106.5,108.7,108.9,108.9,109.4,109.4,110.1,112.9,120.1,125.1,129.8,132.8,136.8,138.5,142.5,148.8,154.8,164,171.5,177.8,182.8,187.8,193.1,198.4,201.9,206.4,215.1,222.3,227.1,235.8,247.4,257.4,266.6,277.1,282.6,291.8,307.1,321.1,331.1,339.4,351.6,362.75,369.75,378.95,390.75,402.1,411.9,423.4,436.4,451.2,464.7,482.2,501.2,514.7,528.5,543.7,559.5,571,583.5,598.3,614.3,629,640.5,653.3,669.8,685.1,701.3,718.8,93,97.6,2.79284800875379,99.2,3.48966728754731,104
1979,0.5,0.5,0.5,3,5.5,8.2,12.7,17.7,22.9,28.9,30.9,31.7,31.7,31.7,31.7,31.7,32.2,32.2,32.2,32.2,33.5,33.5,33.5,35,39,42.8,47.3,47.6,50.4,55.9,61.9,62.9,62.9,62.9,63.4,64.7,68.2,70,72,74.2,78.2,81.9,86.1,91.9,97.2,98.7,101.2,103.35,106.55,109.55,115.85,126.65,135.85,146.05,151.55,155.85,160.65,162.65,162.65,162.65,162.65,162.65,162.65,163.85,166.35,169.85,173.85,179.85,185.35,186.15,188.65,191.35,195.15,200.5,205,207,208,213.8,220.3,222.3,225.3,230.6,236.9,241.2,248.2,254.7,261.95,273.95,287.45,295.45,302.65,310.35,316.55,322.05,327.25,337.1,350.4,361.9,372.4,382.3,394.1,403.3,414.6,423.8,432.3,439.8,444.3,451.1,458.3,465.8,472.3,481,493.5,507.8,521.8,532.5,540,547.8,560.6,571.6,582.1,592.8,604.8,618.6,633.6,648.9,663.1,676.9,688.9,703.1,718.4,728.6,741.1,753.3,763.6,776.1,104,99,3.93700393700591,99.7,3.8020462326957,97
1980,0.5,3.8,11.6,16.9,16.9,16.9,16.9,16.9,16.9,17.4,17.4,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,20.2,27.7,34.2,38,38,38,38,38,38.8,38.8,38.8,38.8,38.8,38.8,38.8,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,40.2,40.2,40.2,41.4,42.9,44.2,46.7,49.9,52.4,56.9,59.1,59.6,61.4,63.4,63.9,68.4,73.7,78.5,85.7,88.2,88.2,88.7,90.3,92.5,94.7,97.5,100.7,101.4,104.4,111.9,117.1,118.4,118.9,120.4,122.9,127.1,131.65,139.95,148.75,156.55,166.55,171.75,175.05,182.25,193.75,207.55,220.05,226.55,238.25,246.25,252.25,263.75,275.95,287.45,293.45,298.65,304.65,308.85,316.35,329.85,343.35,352.05,362.05,369.05,376.85,383.85,392.35,402.85,410.65,421.85,432.35,440.55,451.05,465.05,482.35,493.85,504.65,514.45,525.95,537.65,551.15,567.65,585.65,600.45,620.25,634.25,97,98.6,4.03732584763727,99.3,3.86005181312376,102
1981,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4.1,4.9,5.7,6,6,7.7,11.2,14.7,21.7,27.2,27.2,30.7,32.75,32.75,32.75,32.75,34.55,35.35,35.35,35.35,35.35,35.35,35.35,35.35,37.85,41.55,42.05,42.05,43.75,48.05,51.05,52.2,52.7,58.5,66.5,77,80.7,82.2,85.7,91.7,101.2,111.9,118.9,125.2,130,139,149.5,156.6,158.6,161.8,168.3,173.3,176,182.3,185.8,192.3,197.5,204.5,211.8,219.3,229.8,240.8,252.3,264.4,277.4,286.6,294.6,304.9,313.2,321.7,330.4,339.4,344.7,352.2,362.7,375.2,389.4,398.4,409.2,423.7,438.85,453.15,465.15,480.25,495.05,504.25,512.05,524.85,536.55,548.8,563.6,580.9,600.2,620.7,632.5,644,658.2,672.5,688.2,102,99,4.30116263352131,98.8,2.97396106975939,99
